00-avengers-company_business,04-iGMM-company_business
"['healthcare', 'animal healthcare companies', 'healthcare technology and information']","['consumer cyclical', 'casinos', 'consumer durables']"
"['technology', 'software and it']","['consumer cyclical', 'automobile', 'automobile parts']"
,"['industries', 'capital goods', 'machinery manufacturing']"
"['technology', 'consumer electronics']","['basic materials', 'mining', 'gold mining']"
"['basic materials', 'chemicals']",['asset management']
"['basic materials', 'iron and steel', 'metals']","['financial services', 'asset management']"
"['technology', 'electronics', 'capital goods']","['utilities', 'oil and gas', 'gas utilities']"
"['communication services', 'entertainment']","['industries', 'industry machinery']"
"['consumer defensive', 'fmcg', 'food products', 'consumer non durables', 'package foods']","['consumer defensive', 'package foods', 'food products']"
"['consumer cyclical', 'casinos', 'consumer durables', 'entertainment', 'gaming', 'hotels']","['technology', 'electronics', 'consumer electronics']"
"['technology', 'electronics', 'consumer electronics']","['technology', 'software and it']"
"['consumer defensive', 'package foods', 'food products', 'fmcg']","['technology', 'software and it']"
"['industries', 'industry machinery']","['industries', 'engineering products', 'engineering services']"
"['utilities', 'oil and gas', 'gas utilities', 'energy']","['financial services', 'banking services']"
"['financial services', 'asset management']","['consumer defensive', 'personal care products', 'consumer goods']"
asset management,"['industries', 'electrical products']"
"['basic materials', 'mining', 'gold mining']","['leisure', 'home improvement', 'swimming pools related']"
"['industries', 'capital goods', 'machinery manufacturing', 'manufacturing', 'aerospace and defense']",['paper and pulp']
"['consumer cyclical', 'automobile', 'automobile parts']",['waste and trash management']
"['technology', 'software and it']","['financial services', 'banking services']"
"['financial services', 'banking services']","['basic materials', 'cement', 'construction materials']"
waste and trash management,"['real estate', 'construction materials', 'consumer services']"
paper and pulp,['real estate']
"['leisure', 'home improvement', 'swimming pools related', 'building products and equipment']","['consumer defensive', 'food and beverage', 'food products']"
"['industries', 'electrical products']","['healthcare', 'biotechnology', 'biopharmaceutical']"
"['consumer defensive', 'personal care products', 'consumer goods', 'fmcg']","['consumer defensive', 'fmcg', 'package foods']"
"['financial services', 'banking services']","['energy', 'oil and gas']"
"['industries', 'engineering products', 'engineering services', 'construction']","['utilities', 'electric utilities']"
"['technology', 'software and it']","['basic materials', 'chemicals']"
"['basic materials', 'cement', 'construction materials']","['energy', 'oil and gas']"
"['energy', 'oil and gas']","['financial services', 'asset management']"
"['basic materials', 'chemicals']","['industries', 'metal fabrication products', 'capital goods']"
"['utilities', 'electric utilities']","['real estate', 'property investments']"
"['energy', 'oil and gas']","['communication services', 'business services', 'internet or mobile app based business']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']",['financial services']
"['healthcare', 'biotechnology', 'biopharmaceutical', 'pharmaceutical', 'healthcare products']","['consumer defensive', 'food products', 'fmcg']"
"['consumer defensive', 'food and beverage', 'food products', 'consumer non durables', 'chocolate & confectionery']","['technology', 'electronics', 'semiconductors']"
real estate,['real estate']
"['real estate', 'construction materials', 'consumer services', 'property investments', 'commercial properties']","['consumer cyclical', 'automobile', 'automobile parts']"
"['financial services', 'asset management']","['analytics', 'healthcare', 'software and it']"
"['analytics', 'healthcare', 'software and it']","['healthcare', 'healthcare products', 'health care diagnostics']"
"['consumer cyclical', 'automobile', 'automobile parts']","['industries', 'plastics / plastic products', 'home improvement']"
real estate,"['financial services', 'banking services']"
"['technology', 'electronics', 'semiconductors']","['industries', 'shipping']"
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['financial services', 'banking services']"
financial services,"['healthcare', 'pharmaceutical', 'healthcare products']"
"['communication services', 'business services', 'internet or mobile app based business']","['financial services', 'banking services']"
"['real estate', 'property investments']","['financial services', 'banking services']"
"['industries', 'metal fabrication products', 'capital goods', 'engineering products', 'aerospace and defense', 'aerospace products', 'industry machinery']","['consumer cyclical', 'automobile', 'automobile parts']"
"['healthcare', 'healthcare products', 'health care diagnostics']","['biotechnology', 'healthcare']"
"['biotechnology', 'healthcare']","['healthcare', 'pharmacy', 'healthcare service']"
"['consumer cyclical', 'automobile', 'automobile parts']","['consumer cyclical', 'consumer services', 'retail']"
"['financial services', 'banking services']","['industries', 'consulting services']"
"['financial services', 'banking services']","['industries', 'shipping']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'biopharmaceutical']","['consumer cyclical', 'entertainment', 'sports related']"
"['financial services', 'banking services']","['basic materials', 'chemicals']"
"['industries', 'shipping']",['financial services']
"['financial services', 'banking services']","['technology', 'software and it']"
"['industries', 'plastics / plastic products', 'home improvement', 'chemicals', 'paints and coatings', 'home furnishing', 'building products and equipment']","['basic materials', 'chemicals', 'paper and pulp']"
"['healthcare', 'pharmacy', 'healthcare service', 'ecommerce', 'internet or mobile app based business', 'retail']","['real estate', 'consumer services', 'property investments']"
"['real estate', 'consumer services', 'property investments']","['industries', 'industry machinery']"
"['basic materials', 'chemicals', 'paper and pulp']","['basic materials', 'chemicals']"
"['technology', 'software and it']","['basic materials', 'gold mining', 'mining']"
financial services,['pharmaceutical']
"['basic materials', 'chemicals']","['consumer cyclical', 'retail']"
"['consumer cyclical', 'entertainment', 'sports related', 'leisure', 'consumer services']","['healthcare', 'biotechnology']"
"['industries', 'shipping']","['consumer cyclical', 'consumer services', 'gaming']"
"['industries', 'consulting services']","['healthcare service', 'healthcare', 'technology']"
"['consumer cyclical', 'consumer services', 'retail', 'internet or mobile app based business', 'ecommerce']","['technology', 'technology hardware and instruments']"
"['industries', 'industry machinery']","['industries', 'construction materials', 'metal fabrication products']"
"['industries', 'construction materials', 'metal fabrication products', 'metal products manufacturing', 'building products and equipment']","['financial services', 'stock markets, trading, capital markets']"
"['technology', 'technology hardware and instruments']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['healthcare service', 'healthcare', 'technology', 'healthcare technology and information']","['basic materials', 'cement', 'construction materials']"
"['consumer cyclical', 'consumer services', 'gaming', 'retail']","['communication services', 'telecom']"
"['healthcare', 'biotechnology']","['financial services', 'banking services']"
"['consumer cyclical', 'retail']",['asset management']
pharmaceutical,"['metal fabrication products', 'metal products manufacturing', 'iron and steel']"
"['basic materials', 'gold mining', 'mining']","['technology', 'software and it']"
"['basic materials', 'chemicals']","['shell company', 'software and it']"
"['financial services', 'stock markets, trading, capital markets']","['healthcare', 'healthcare products', 'biotechnology']"
"['healthcare', 'healthcare products', 'biotechnology']","['basic materials', 'chemicals']"
"['shell company', 'software and it']","['financial services', 'banking services']"
"['technology', 'software and it']","['consumer cyclical', 'real estate', 'hotels']"
