02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
grocery stores,grocery stores,semiconductors,grocery stores,,insurance—diversified,consumer staples,consumer staples,technology,consumer staples,,financials,financials
computer hardware,computer hardware,telecom services,computer hardware,,insurance—property & casualty,technology,technology,communication services,technology,,consumer staples,financials
reit—healthcare facilities,reit—healthcare facilities,railroads,reit—healthcare facilities,,auto manufacturers,real estate,real estate,industrials,real estate,,technology,consumer discretionary
insurance—property & casualty,insurance—property & casualty,electrical equipment & parts,insurance—property & casualty,,specialty industrial machinery,financials,financials,industrials,financials,,real estate,industrials
broadcasting,broadcasting,banks,broadcasting,,household & personal products,communication services,communication services,financials,communication services,,financials,consumer staples
banks,banks,restaurants,banks,,financial data & stock exchanges,financials,financials,consumer discretionary,financials,,communication services,financials
airlines,airlines,banks,airlines,,medical devices,industrials,industrials,financials,industrials,,financials,healthcare
engineering & construction,engineering & construction,integrated freight & logistics,engineering & construction,,tobacco,industrials,industrials,industrials,industrials,,industrials,consumer staples
medical care facilities,medical care facilities,software—application,medical care facilities,,tobacco,healthcare,healthcare,technology,healthcare,,industrials,consumer staples
other industrial metals & mining,other industrial metals & mining,software—infrastructure,other industrial metals & mining,,telecom services,basic materials,basic materials,technology,basic materials,,healthcare,communication services
